restaurant_name,rating,reviews_given,restaurant_location,cuisines,average_cost_for_two,order_category,city,restaurant_category,has_online_order,has_table_booking,num_cuisines
Hottey Smokey,0.0,0,Electronic City,"Asian, Salad, Italian",400.0,Delivery,Electronic City,Takeaway,1,0,3
OrganicFeast,2.9,45,Electronic City,"North Indian, Chinese, Healthy Food",400.0,Delivery,Electronic City,Quick Bites,1,0,3
Manasa Andhra Style Multi Cuisine Restaurant,3.6,70,Electronic City,"North Indian, South Indian, Chinese, Andhra, Biryani",800.0,Delivery,Electronic City,Casual Dining,0,0,5
Akkad Bakkad,3.9,72,Electronic City,"North Indian, Chinese",600.0,Delivery,Electronic City,Casual Dining,1,1,2
Meat and Eat,3.4,19,Electronic City,"Fast Food, Burger",500.0,Delivery,Electronic City,Quick Bites,1,0,2
The Chocolate Room,2.8,43,Electronic City,"Cafe, Beverages",600.0,Delivery,Electronic City,Cafe,1,0,2
Hotel Shruthi,3.5,13,Electronic City,"North Indian, Biryani",200.0,Delivery,Electronic City,Quick Bites,1,0,2
Kababish Restaurant,0.0,0,Electronic City,"North Indian, Chinese, Arabian, Biryani, Rolls",500.0,Delivery,Electronic City,Quick Bites,1,0,5
Crumbz Crunches,3.1,44,Electronic City,"North Indian, Chinese",450.0,Delivery,Electronic City,Quick Bites,1,0,2
Delhi Fast Food,0.0,0,Electronic City,Street Food,100.0,Delivery,Electronic City,Quick Bites,1,0,1
The Milkshake Co and More,0.0,0,South Bangalore,"Beverages, Desserts, Fast Food",250.0,Delivery,Electronic City,Takeaway,1,0,3
Mumbai Kulfi,3.7,61,Electronic City,"Ice Cream, Desserts",100.0,Delivery,Electronic City,Dessert Parlor,1,0,2
Alikemom,0.0,0,Electronic City,North Indian,300.0,Delivery,Electronic City,Takeaway,1,0,1
Sky Lounge Bar - Svenska Design Hotel,4.0,537,Electronic City,"North Indian, Pizza, Asian, Italian",1500.0,Delivery,Electronic City,Bar,1,1,4
Foodie Nation,3.5,89,Electronic City,"North Indian, Chinese, Arabian",1000.0,Delivery,Electronic City,Casual Dining,1,1,3
Chilli Park,0.0,0,Electronic City,"North Indian, Chinese, Fast Food",300.0,Delivery,Electronic City,Quick Bites,1,0,3
Gilly's Restobar,4.3,1249,Electronic City,"Continental, North Indian, Chinese, Salad",1200.0,Delivery,Electronic City,Pub,0,1,4
Spicy Tandoor,2.7,39,Electronic City,"North Indian, Chinese, Kebab, Mughlai",400.0,Delivery,Electronic City,Takeaway,1,0,4
Parivaar Eat House,0.0,0,Electronic City,"North Indian, Biryani",500.0,Delivery,Electronic City,Delivery,1,0,2
Messy's,3.8,108,Electronic City,Fast Food,400.0,Delivery,Electronic City,Quick Bites,1,0,1
Entree cafe,3.7,56,Electronic City,"Cafe, Bakery, Desserts",400.0,Delivery,Electronic City,Cafe,1,0,3
Rayalaseema Ruchulu SR,3.2,9,Electronic City,"Andhra, South Indian",300.0,Delivery,Electronic City,Takeaway,1,0,2
Andhra Biryani & Curries,3.1,4,Electronic City,"North Indian, South Indian, Chinese, Andhra, Biryani",400.0,Delivery,Electronic City,Quick Bites,1,0,5
Reddy's Hyderabadi Biryani,2.7,76,Electronic City,"Chinese, North Indian, South Indian, Biryani, Andhra",500.0,Delivery,Electronic City,Takeaway,1,0,5
Mughlai Kitchen,0.0,0,Electronic City,"Mughlai, North Indian, Chinese, Momos",600.0,Delivery,Electronic City,Unknown,1,0,4
The Platonic Cafe,0.0,0,Electronic City,"Cafe, Beverages",500.0,Delivery,Electronic City,Cafe,1,0,2
Juicy,3.9,37,Electronic City,"Beverages, Juices, Fast Food",200.0,Delivery,Electronic City,Beverage Shop,1,0,3
Flying Cakes,3.1,127,Electronic City,"Bakery, Desserts",500.0,Delivery,Electronic City,Bakery,1,0,2
Manasa Cool Cafe,3.2,7,Electronic City,"Fast Food, Juices, Cafe, Desserts",300.0,Delivery,Electronic City,Cafe,1,0,4
Godavari Delights,3.0,11,Electronic City,South Indian,400.0,Delivery,Electronic City,Casual Dining,1,0,1
Domino's Pizza,2.7,477,Electronic City,"Pizza, Fast Food",400.0,Delivery,Electronic City,Quick Bites,1,0,2
Royal Iceberry,3.4,5,Electronic City,Desserts,200.0,Delivery,Electronic City,Dessert Parlor,1,0,1
Biryani Darbar,3.3,12,Electronic City,"Biryani, Chinese",600.0,Delivery,Electronic City,Casual Dining,1,0,2
Petoo,3.6,55,Electronic City,"North Indian, Fast Food, Street Food",400.0,Delivery,Electronic City,Food Court,1,0,3
Just Cakes,3.4,22,Electronic City,Bakery,350.0,Delivery,Electronic City,Bakery,1,0,1
Andhra Amigos,3.6,81,Electronic City,"Andhra, North Indian, Biryani",350.0,Delivery,Electronic City,Casual Dining,1,0,3
Kritunga Restaurant,3.8,473,Electronic City,"Andhra, Biryani, North Indian, Chinese",650.0,Delivery,Electronic City,Casual Dining,0,1,4
Srinidhi Grand,0.0,0,Electronic City,"South Indian, Fast Food",150.0,Delivery,Electronic City,Quick Bites,1,0,2
Shake The Shake,0.0,0,Electronic City,Juices,200.0,Delivery,Electronic City,Beverage Shop,1,0,1
McDonald's,3.3,5,Bommanahalli,"Burger, Fast Food",500.0,Delivery,Electronic City,Quick Bites,1,0,2
Uma Ki Rasoi,3.9,40,Electronic City,North Indian,250.0,Delivery,Electronic City,Quick Bites,1,0,1
Momo Time,0.0,0,Electronic City,Momos,400.0,Delivery,Electronic City,Quick Bites,1,0,1
Chick Blast,3.3,6,Electronic City,Fast Food,400.0,Delivery,Electronic City,Quick Bites,0,0,1
Masale Daan,0.0,0,Electronic City,North Indian,350.0,Delivery,Electronic City,Delivery,1,0,1
Today Coffee,0.0,0,Electronic City,South Indian,150.0,Delivery,Electronic City,Quick Bites,1,0,1
Sankalp Reddy Restaurant,3.9,33,Electronic City,"South Indian, Andhra, Biryani",300.0,Delivery,Electronic City,Quick Bites,1,0,3
Millennium Plaza,3.4,19,Electronic City,North Indian,700.0,Delivery,Electronic City,Casual Dining,1,0,1
Sitara Veg Restaurant,3.9,417,Electronic City,"South Indian, North Indian, Chinese",400.0,Delivery,Electronic City,Quick Bites,1,0,3
Lassi Corner,3.7,28,Electronic City,"Beverages, Sandwich",150.0,Delivery,Electronic City,Beverage Shop,1,0,2
Sweet Chariot,3.0,60,Electronic City,"Bakery, Fast Food",500.0,Delivery,Electronic City,Dessert Parlor,1,0,2
Hyderabadi Biryani Flames,0.0,0,Electronic City,"Biryani, Andhra",300.0,Delivery,Electronic City,Takeaway,1,0,2
Hotel Ranga,0.0,0,Electronic City,South Indian,400.0,Delivery,Electronic City,Quick Bites,1,0,1
Seasons,2.9,380,Electronic City,"North Indian, South Indian, Chinese, Seafood, Kerala, Arabian, Juices",1000.0,Delivery,Electronic City,Casual Dining,1,0,7
Cedar Bar & Dive - Hotel Presidency,3.8,49,Electronic City,"North Indian, Thai, Chinese, Continental",1200.0,Delivery,Electronic City,Bar,1,0,4
Juicemaker,3.9,31,Electronic City,"Beverages, Fast Food",400.0,Delivery,Electronic City,Beverage Shop,0,0,2
Cuppa,3.0,119,Electronic City,"Cafe, Fast Food, Continental",700.0,Delivery,Electronic City,Cafe,1,0,3
Lord of Combos,0.0,0,Electronic City,North Indian,500.0,Delivery,Electronic City,Quick Bites,1,0,1
Just Bake,3.2,14,Electronic City,"Bakery, Desserts",400.0,Delivery,Electronic City,Bakery,1,0,2
Vinaya Royal Inn,3.1,5,Electronic City,"North Indian, Chinese",500.0,Delivery,Electronic City,Casual Dining,1,0,2
Bamboo Shades,2.8,48,Electronic City,"Charcoal Chicken, Chinese, North Indian, Juices, Desserts, Seafood, South Indian",1000.0,Delivery,Electronic City,Casual Dining,1,0,7
Meridian South - A Pure Vegetarian Restaurant,0.0,0,Electronic City,"North Indian, South Indian, Chinese",600.0,Delivery,Electronic City,Casual Dining,0,0,3
Tap House Resto Bar,3.4,184,Electronic City,"Chinese, North Indian, Thai",900.0,Delivery,Electronic City,Casual Dining,1,1,3
Kabab Souq,3.4,7,Electronic City,"North Indian, Chinese",400.0,Delivery,Electronic City,Quick Bites,0,0,2
Aagaman Veg,0.0,0,Electronic City,"North Indian, Chinese, South Indian",900.0,Delivery,Electronic City,Casual Dining,1,0,3
French Bake House,3.7,91,Electronic City,"Bakery, French, Fast Food",200.0,Delivery,Electronic City,Bakery,1,0,3
Apsara Ice Cream,4.0,67,Electronic City,"Ice Cream, Desserts",200.0,Delivery,Electronic City,Dessert Parlor,0,0,2
Mesa Deli - Svenska Design Hotel,3.2,9,Electronic City,"North Indian, Italian",600.0,Delivery,Electronic City,Casual Dining,1,1,2
Indian Kitchen - Hotel Presidency,3.0,8,Electronic City,"Fast Food, North Indian, Finger Food",1000.0,Delivery,Electronic City,Casual Dining,1,0,3
Salt N Pepper,3.6,74,Electronic City,"North Indian, Chinese",500.0,Delivery,Electronic City,Casual Dining,0,0,2
Punjab Calling,3.7,10,Electronic City,North Indian,400.0,Delivery,Electronic City,Quick Bites,1,0,1
Hanchi Thinnuva,3.5,17,Electronic City,South Indian,300.0,Delivery,Electronic City,Quick Bites,1,0,1
Venadu Restaurant,3.4,7,Electronic City,Kerala,700.0,Delivery,Electronic City,Casual Dining,0,0,1
Chill Out Cafe,3.5,11,Electronic City,"North Indian, Chinese",350.0,Delivery,Electronic City,Quick Bites,0,0,2
Trisha's Kitchen,3.2,4,Electronic City,"North Indian, Chinese",300.0,Delivery,Electronic City,Takeaway,1,0,2
Just Homely,0.0,0,Electronic City,North Indian,300.0,Delivery,Electronic City,Takeaway,1,0,1
Nandanam Family Restaurant,3.3,4,Electronic City,"Kerala, Chinese",400.0,Delivery,Electronic City,Quick Bites,0,0,2
Hello Cafe,0.0,0,Electronic City,"Fast Food, Beverages",200.0,Delivery,Electronic City,Quick Bites,0,0,2
Food Point Family Restauarant,3.3,6,Electronic City,"North Indian, Chinese, Mughlai",700.0,Delivery,Electronic City,Casual Dining,1,0,3
Kababish Sizzler,0.0,0,Electronic City,"Biryani, North Indian, South Indian, Fast Food",250.0,Delivery,Electronic City,Quick Bites,0,0,4
#Vibes Restro,0.0,0,Electronic City,"Continental, Chinese, Italian",700.0,Delivery,Electronic City,Casual Dining,0,0,3
Soul Curry Restaurant,3.6,18,Electronic City,"Andhra, Chinese, North Indian, Biryani",600.0,Delivery,Electronic City,Casual Dining,0,0,4
Time Traveller - Sai Vishram,4.2,882,Electronic City,"Continental, North Indian, South Indian, Chinese",1100.0,Delivery,Electronic City,Casual Dining,1,0,4
Ragi Nadu,3.5,13,Electronic City,"South Indian, Biryani, Chinese",450.0,Delivery,Electronic City,Quick Bites,0,0,3
Rolls On Wheels,2.7,23,Electronic City,"Fast Food, Rolls, Momos",300.0,Delivery,Electronic City,Quick Bites,0,0,3
Basaveshwara Khanavali,0.0,0,Electronic City,South Indian,100.0,Delivery,Electronic City,Quick Bites,0,0,1
Mesa Lounge Bar - Svenska Design Hotel,3.5,49,Electronic City,"North Indian, Pizza, Asian, Italian",1500.0,Delivery,Electronic City,Lounge,0,1,4
Pulla Reddy Sweets,3.0,22,Electronic City,Mithai,250.0,Delivery,Electronic City,Dessert Parlor,0,0,1
Food 4 U,3.6,34,Electronic City,North Indian,400.0,Delivery,Electronic City,Quick Bites,0,0,1
Half Girlfriend,0.0,0,Electronic City,"Biryani, North Indian, Chinese, Fast Food",600.0,Delivery,Electronic City,Quick Bites,1,0,4
The Hungry,3.6,20,Electronic City,"Fast Food, Chinese",400.0,Delivery,Electronic City,Quick Bites,1,0,2
Green Family Bar & Restaurant,3.0,57,Electronic City,"North Indian, Chinese, Andhra",1000.0,Delivery,Electronic City,Casual Dining,0,0,3
Chinmayee's,3.1,83,Electronic City,"North Indian, Chinese",700.0,Delivery,Electronic City,Casual Dining,0,0,2
Tellimagic Restaurant,3.5,12,Electronic City,"North Indian, South Indian, Chinese",400.0,Delivery,Electronic City,Quick Bites,1,0,3
SFC Kabab Corner,3.6,14,Electronic City,"Chinese, Andhra",350.0,Delivery,Electronic City,Quick Bites,0,0,2
Royal Chowpatty,3.7,14,Electronic City,Street Food,100.0,Delivery,Electronic City,Quick Bites,0,0,1
New Aastha,3.6,34,Electronic City,"North Indian, Chinese",250.0,Delivery,Electronic City,Quick Bites,1,0,2
Food Club Restaurant,3.7,45,Electronic City,"North Indian, Chinese",500.0,Delivery,Electronic City,Casual Dining,0,0,2
Bhojanam Restaurant,3.6,196,Electronic City,"Andhra, Biryani",600.0,Delivery,Electronic City,Casual Dining,0,0,2
Ruchie Rich,3.5,134,Electronic City,"Biryani, Fast Food, North Indian",200.0,Delivery,Electronic City,Quick Bites,0,0,3
Balaji Foods,0.0,0,Electronic City,South Indian,250.0,Delivery,Electronic City,Takeaway,0,0,1
Ruchimayam Restaurant,0.0,0,Electronic City,"Andhra, Chinese",350.0,Delivery,Electronic City,Quick Bites,0,0,2
RK Garden Family Restaurant,3.5,17,Electronic City,"Andhra, Chinese, North Indian, South Indian",600.0,Delivery,Electronic City,Casual Dining,0,0,4
Sai Grand,0.0,0,Electronic City,"South Indian, North Indian, Chinese",200.0,Delivery,Electronic City,Quick Bites,0,0,3
The Dining Table - Sahar Pavillion,3.7,74,Electronic City,"Chinese, Continental, North Indian, Pizza, South Indian",1500.0,Delivery,Electronic City,Casual Dining,0,1,5
Vijayawadawari Sandhya Andhra Mess,3.4,10,Electronic City,"North Indian, Biryani, South Indian",400.0,Delivery,Electronic City,Quick Bites,1,0,3
Eden Huts Dhaba,3.6,33,Electronic City,"Chinese, North Indian",500.0,Delivery,Electronic City,Casual Dining,0,0,2
Silicon Spicy Bite & Sip,0.0,0,Electronic City,"Fast Food, Beverages",200.0,Delivery,Electronic City,Quick Bites,0,0,2
Samrudhi,2.9,18,Electronic City,"Andhra, Chinese, North Indian",450.0,Delivery,Electronic City,Casual Dining,0,0,3
Hotel Food Zone,3.3,9,Electronic City,"North Indian, Chinese",350.0,Delivery,Electronic City,Quick Bites,0,0,2
Magic Oven,4.0,134,Electronic City,"Cafe, Desserts",400.0,Delivery,Electronic City,Cafe,0,0,2
Amaravati,0.0,0,Electronic City,"Andhra, North Indian, Chinese, Seafood",600.0,Delivery,Electronic City,Casual Dining,0,0,4
NMR Multicuisine Restaurant,3.6,9,Electronic City,"North Indian, Chinese, Arabian, Juices",550.0,Delivery,Electronic City,Casual Dining,1,0,4
Oasis Restaurant,2.9,28,Electronic City,"North Indian, Chinese, Kebab",550.0,Delivery,Electronic City,Casual Dining,0,0,3
Swad,3.7,38,Electronic City,"North Indian, Chinese",500.0,Delivery,Electronic City,Casual Dining,0,0,2
Salt And Spice,3.2,77,Electronic City,"North Indian, Kerala",450.0,Delivery,Electronic City,Quick Bites,0,0,2
The Hungry Shark Cafe,3.9,117,Electronic City,"Cafe, Continental, Beverages",700.0,Delivery,Electronic City,Cafe,0,0,3
Hotel Green Palace,0.0,0,Electronic City,"North Indian, South Indian, Kerala",200.0,Delivery,Electronic City,Quick Bites,0,0,3
Just Like Mum's,0.0,0,Electronic City,"Bakery, Desserts",200.0,Delivery,Electronic City,Bakery,0,0,2
Galaxy Kebabs & Curries,0.0,0,Electronic City,"North Indian, Kebab, Seafood, Chinese",650.0,Delivery,Electronic City,Casual Dining,0,0,4
Burmans Home Food,0.0,0,Electronic City,North Indian,300.0,Delivery,Electronic City,Quick Bites,0,0,1
Bawarchi,3.0,29,Electronic City,"North Indian, Chinese",400.0,Delivery,Electronic City,Quick Bites,0,0,2
Kinara Family Restaurant,3.5,11,Electronic City,"South Indian, North Indian, Chinese",600.0,Delivery,Electronic City,Casual Dining,0,0,3
Food Planet,3.1,5,Electronic City,"North Indian, Chinese, Kerala",400.0,Delivery,Electronic City,Quick Bites,0,0,3
Bachelor's Special Biriyani,3.3,6,Electronic City,"Biryani, North Indian, South Indian",250.0,Delivery,Electronic City,Quick Bites,0,0,3
E Foods Regalia,3.1,11,Electronic City,"South Indian, Chinese",550.0,Delivery,Electronic City,Quick Bites,0,0,2
Malabar Restaurant,3.6,19,Electronic City,"Kerala, Fast Food, Beverages",400.0,Delivery,Electronic City,Quick Bites,0,0,3
Cake Point,0.0,0,Electronic City,Bakery,300.0,Delivery,Electronic City,Quick Bites,0,0,1
Hotel Fresh N Tasty,0.0,0,Electronic City,"North Indian, South Indian, Chinese, Kerala",300.0,Delivery,Electronic City,Quick Bites,0,0,4
Indulge,0.0,0,Electronic City,"Bakery, Desserts",200.0,Delivery,Electronic City,Bakery,0,0,2
Nomnom,0.0,0,Electronic City,"Kerala, North Indian, Chinese",400.0,Delivery,Electronic City,Delivery,0,0,3
24 Hours Cake Delivery,0.0,0,Electronic City,Bakery,700.0,Delivery,Electronic City,Delivery,0,0,1
Bak'd Goodies,0.0,0,Electronic City,Bakery,350.0,Delivery,Electronic City,Bakery,0,0,1
Nasma Restaurant,0.0,0,Electronic City,"North Indian, Chinese, Arabian",550.0,Delivery,Electronic City,Casual Dining,0,0,3
Healthy Bill,0.0,0,Electronic City,"Salad, Sandwich, Fast Food, Beverages, Juices",200.0,Delivery,Electronic City,Quick Bites,0,0,5
Arya Bhavan Sweets,0.0,0,Electronic City,"Mithai, Street Food, North Indian",300.0,Delivery,Electronic City,Sweet Shop,0,0,3
Jyoti's Kitchen-Donne Biryani,0.0,0,Electronic City,"South Indian, North Indian, Chinese",300.0,Delivery,Electronic City,Quick Bites,0,0,3
RK Foods,0.0,0,Electronic City,North Indian,300.0,Delivery,Electronic City,Quick Bites,0,0,1
Amaravathi Andhra Mess,0.0,0,Electronic City,Andhra,300.0,Delivery,Electronic City,Quick Bites,0,0,1
Delish Mom Food,0.0,0,Electronic City,"Chinese, North Indian, South Indian",300.0,Delivery,Electronic City,Delivery,0,0,3
Casamia Restaurant,0.0,0,Electronic City,"North Indian, South Indian, Kerala, Arabian",400.0,Delivery,Electronic City,Quick Bites,0,0,4
Casamia Restaurant,0.0,0,Electronic City,"South Indian, North Indian, Arabian",400.0,Delivery,Electronic City,Quick Bites,0,0,3
KATOOTA,0.0,0,Electronic City,"South Indian, Biryani",300.0,Delivery,Electronic City,Quick Bites,0,0,2
Rayalaseema Ruchulu,0.0,0,Electronic City,"Andhra, North Indian",700.0,Delivery,Electronic City,Casual Dining,0,0,2
Andhra Chettinad Cuisine,3.6,24,Electronic City,"Andhra, South Indian, Chettinad",250.0,Delivery,Electronic City,Quick Bites,0,0,3
Varenyam,3.7,56,Electronic City,"South Indian, North Indian",500.0,Delivery,Electronic City,Casual Dining,0,0,2
Choconut,0.0,0,Electronic City,"Bakery, Desserts",300.0,Delivery,Electronic City,Beverage Shop,0,0,2
Fumzas Dine,0.0,0,Electronic City,"Biryani, North Indian",400.0,Delivery,Electronic City,Quick Bites,0,0,2
Sri Mandarathi,0.0,0,Electronic City,"South Indian, Juices",350.0,Delivery,Electronic City,Quick Bites,0,0,2
Biryani Centre,0.0,0,Electronic City,South Indian,300.0,Delivery,Electronic City,Quick Bites,0,0,1
Hotel Sinchara,0.0,0,Electronic City,"South Indian, North Indian, Chinese",500.0,Delivery,Electronic City,Casual Dining,0,0,3
ABCD - Anybody Can Dine,0.0,0,Electronic City,"Chinese, Fast Food",500.0,Delivery,Electronic City,Quick Bites,0,0,2
Oven Fresh,0.0,0,Electronic City,"Bakery, Fast Food",550.0,Delivery,Electronic City,Quick Bites,0,0,2
Cake Dilim,3.2,6,Electronic City,"Bakery, Desserts",400.0,Delivery,Electronic City,Bakery,0,0,2
The Veggies,0.0,0,Electronic City,"Chinese, North Indian",200.0,Delivery,Electronic City,Quick Bites,0,0,2
Cafe Light House,0.0,0,Electronic City,"Kerala, Seafood",500.0,Delivery,Electronic City,Quick Bites,0,0,2
RICE BAR,0.0,0,Electronic City,"North Indian, Biryani",500.0,Delivery,Electronic City,Delivery,0,0,2
Chillout,0.0,0,Electronic City,Chinese,300.0,Delivery,Electronic City,Quick Bites,0,0,1
The French Loaf,0.0,0,Electronic City,"Bakery, Desserts, Sandwich",400.0,Delivery,Electronic City,Bakery,0,0,3
Goodness! Beverages,0.0,0,Electronic City,Beverages,250.0,Delivery,Electronic City,Delivery,0,0,1
Pandit Ji Sweets & Namkeen,0.0,0,Electronic City,"North Indian, Fast Food",300.0,Delivery,Electronic City,Quick Bites,0,0,2
Gugu Fast Foods & Snacks,0.0,0,Electronic City,"Chinese, North Indian, Fast Food",350.0,Delivery,Electronic City,Quick Bites,0,0,3
The Tasty Food,0.0,0,Electronic City,North Indian,200.0,Delivery,Electronic City,Delivery,0,0,1
MGR Foods,0.0,0,Electronic City,South Indian,300.0,Delivery,Electronic City,Quick Bites,0,0,1
AJ Ambur Star Biriyani,0.0,0,Electronic City,"South Indian, Biryani",300.0,Delivery,Electronic City,Quick Bites,0,0,2
BJM Restaurant & Cafe,0.0,0,Electronic City,"North Indian, Chinese, Fast Food",350.0,Delivery,Electronic City,Quick Bites,0,0,3
Zinger Cafe,0.0,0,Electronic City,"Fast Food, Burger, Beverages, Ice Cream",300.0,Delivery,Electronic City,Quick Bites,0,0,4
Venkataramana Nellore Mess,0.0,0,Electronic City,South Indian,200.0,Delivery,Electronic City,Quick Bites,0,0,1
The Cakesplorer,0.0,0,Electronic City,Bakery,400.0,Delivery,Electronic City,Delivery,0,0,1
Sruthi Mess,0.0,0,Electronic City,"South Indian, North Indian, Chinese",300.0,Delivery,Electronic City,Mess,0,0,3
Dilli Tadka,0.0,0,Electronic City,North Indian,300.0,Delivery,Electronic City,Takeaway,0,0,1
B Penguin Restaurant & Cafe,0.0,0,Electronic City,Cafe,300.0,Delivery,Electronic City,Quick Bites,0,0,1
Vigneshwara Mess,0.0,0,Electronic City,"South Indian, Biryani",200.0,Delivery,Electronic City,Mess,0,0,2
Ambur Chicken Biryani,0.0,0,Electronic City,Biryani,150.0,Delivery,Electronic City,Quick Bites,0,0,1
Star Cafe Hotel,0.0,0,Electronic City,"North Indian, Chinese",350.0,Delivery,Electronic City,Quick Bites,0,0,2
Samruddhi Restaurant,0.0,0,Electronic City,"Andhra, North Indian, Chinese",500.0,Delivery,Electronic City,Casual Dining,0,0,3
Hotel Malabar,0.0,0,Electronic City,"Chinese, Mughlai, Hyderabadi, North Indian",400.0,Delivery,Electronic City,Casual Dining,0,0,4
Anil Andhra Curry Point,0.0,0,Electronic City,"Andhra, Biryani",400.0,Delivery,Electronic City,Quick Bites,0,0,2
Eatery,0.0,0,Electronic City,Fast Food,100.0,Delivery,Electronic City,Quick Bites,0,0,1
DIET Cravers,0.0,0,Electronic City,"Salad, Healthy Food",300.0,Delivery,Electronic City,Takeaway,0,0,2
Shivshankar Hotel,0.0,0,Electronic City,"North Indian, Chinese",350.0,Delivery,Electronic City,Quick Bites,0,0,2
New Kshatriya Dum Biryani,0.0,0,Electronic City,"Biryani, South Indian",350.0,Delivery,Electronic City,Quick Bites,0,0,2
The Juice Shop,0.0,0,Electronic City,"Juices, North Indian",200.0,Delivery,Electronic City,Quick Bites,0,0,2
Reyniks Flavours,0.0,0,Electronic City,North Indian,150.0,Delivery,Electronic City,Quick Bites,0,0,1
Sweet Revenge Bake N Cafe,0.0,0,Electronic City,"Bakery, Fast Food, Cafe",200.0,Delivery,Electronic City,Quick Bites,0,0,3
Cakea,0.0,0,Electronic City,Bakery,300.0,Delivery,Electronic City,Delivery,0,0,1
VMS Star Biriyani,3.1,5,Electronic City,"Biryani, South Indian",350.0,Delivery,Electronic City,Quick Bites,0,0,2
MBR Dum Biryani County,3.5,24,Electronic City,"Biryani, North Indian",150.0,Delivery,Electronic City,Quick Bites,0,0,2
Desi Breakk,3.6,29,Electronic City,North Indian,150.0,Delivery,Electronic City,Quick Bites,0,0,1
Bengaluru Restaurant,3.1,22,Electronic City,"North Indian, South Indian",1500.0,Delivery,Electronic City,Casual Dining,0,0,2
S R Andhra Mess,3.3,16,Electronic City,Andhra,200.0,Delivery,Electronic City,Mess,0,0,1
Akshay Biryani Paradise,0.0,0,Electronic City,"South Indian, North Indian",350.0,Delivery,Electronic City,Quick Bites,0,0,2
Shiv Shankar Hotel,3.5,10,Electronic City,"North Indian, Chinese",350.0,Delivery,Electronic City,Quick Bites,0,0,2
Gourmet,3.5,12,Electronic City,"North Indian, Chinese, Continental, South Indian",800.0,Delivery,Electronic City,Casual Dining,0,0,4
New Hyderabadi Biryani House,0.0,0,Electronic City,"Biryani, Hyderabadi",600.0,Delivery,Electronic City,Casual Dining,0,0,2
Vibgyor Kitchen,0.0,0,Electronic City,North Indian,350.0,Delivery,Electronic City,Quick Bites,0,0,1
NightOwl,2.7,31,Electronic City,North Indian,400.0,Delivery,Electronic City,Takeaway,0,0,1
Big Apple Restaurant,3.2,4,Electronic City,"North Indian, Chinese, Pizza, Burger",300.0,Delivery,Electronic City,Quick Bites,0,0,4
Hotel The Nalanda,3.2,4,Electronic City,"North Indian, South Indian",700.0,Delivery,Electronic City,Casual Dining,0,0,2
The Right Moo Organic Icecreams,0.0,0,Electronic City,Desserts,300.0,Delivery,Electronic City,Dessert Parlor,0,0,1
Pepper Pillar,3.4,11,Electronic City,South Indian,700.0,Delivery,Electronic City,Casual Dining,0,0,1
Cool Treat Cafe & Cakes,0.0,0,Electronic City,"Bakery, Fast Food",300.0,Delivery,Electronic City,Bakery,0,0,2
Hotel A-1,3.3,5,Electronic City,"North Indian, Chinese",300.0,Delivery,Electronic City,Quick Bites,0,0,2
Naidu Hotel,0.0,0,Electronic City,South Indian,200.0,Delivery,Electronic City,Quick Bites,0,0,1
Andhra Mess,3.4,8,Electronic City,South Indian,200.0,Delivery,Electronic City,Mess,0,0,1
Vasu Biriyani Paradise,3.1,6,Electronic City,"North Indian, Biryani, Chinese",350.0,Delivery,Electronic City,Quick Bites,0,0,3
Dilli 6,3.2,26,Electronic City,"North Indian, Chinese",450.0,Delivery,Electronic City,Casual Dining,0,0,2
Yum Kitchen,2.8,29,Electronic City,"North Indian, Chinese",600.0,Delivery,Electronic City,Takeaway,0,0,2
MK Dabbawala,3.2,17,Electronic City,North Indian,400.0,Delivery,Electronic City,Delivery,0,0,1
The Magic Chef,3.7,28,Electronic City,"North Indian, Chinese",300.0,Delivery,Electronic City,Quick Bites,0,0,2
Satkar,3.6,22,Electronic City,"Chinese, North Indian",350.0,Delivery,Electronic City,Quick Bites,0,0,2
Sandesh Sweets & Chats,2.9,126,Electronic City,"South Indian, Street Food, Beverages",350.0,Delivery,Electronic City,Quick Bites,0,0,3
NH7 Resto Pub,3.3,6,Electronic City,"Andhra, Chinese, Continental",1400.0,Delivery,Electronic City,Casual Dining,0,0,3
EatPrayLove,0.0,0,South Bangalore,South Indian,180.0,Delivery,Electronic City,Food Truck,0,0,1
Hamara Kozhikode,3.3,5,Electronic City,"Kerala, Juices",300.0,Delivery,Electronic City,Quick Bites,0,0,2
Food Point,0.0,0,Electronic City,"North Indian, South Indian, Chinese",300.0,Delivery,Electronic City,Quick Bites,0,0,3
New Andhra Spice,3.3,4,Electronic City,Andhra,400.0,Delivery,Electronic City,Takeaway,0,0,1
New Green Leaf Restaurant,3.6,42,Electronic City,"Kerala, North Indian, Chinese, South Indian",600.0,Delivery,Electronic City,Casual Dining,0,0,4
Bhukkad,3.3,7,Electronic City,"Healthy Food, Fast Food",250.0,Delivery,Electronic City,Quick Bites,0,0,2
Eatsy,3.5,12,Electronic City,"North Indian, South Indian",300.0,Delivery,Electronic City,Takeaway,0,0,2
Xpress Kitchen,3.3,8,Electronic City,"North Indian, Chinese",500.0,Delivery,Electronic City,Takeaway,0,0,2
Chikeys,3.0,19,Electronic City,"Burger, Fast Food",400.0,Delivery,Electronic City,Quick Bites,0,0,2
Bhavya's Kitchen,0.0,0,Electronic City,"Andhra, North Indian, South Indian, Chinese",350.0,Delivery,Electronic City,Delivery,0,0,4
